Fiscal Year,Agency Name,Title Description,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,Total Other Pay
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1775,$34331.14,$816.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$86000.00, per Annum,1831,$85764.75,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$82000.00, per Annum,1830,$81282.85,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39841.00, per Annum,1830,$38175.87,$8.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,SPECIAL OFFICER                                             ,$44269.00, per Annum,2091.42,$43460.42,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COUNTY DETECTIVE                                            ,$45507.00, per Annum,1830,$46024.13,$8113.59
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43102.00, per Annum,1830,$42328.77,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$57879.00, per Annum,1830,$55442.98,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$62000.00, per Annum,865,$26087.38,$24.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$104500.00, per Annum,1830,$103569.71,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$74500.00, per Annum,1551,$63653.27,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SENIOR ACCOUNTANT INVESTIGATOR                              ,$63583.00, per Annum,1830,$60760.89,$16.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44075.00, per Annum,1600,$36194.62,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$45331.00, per Annum,1830,$44720.35,$90.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$47351.00, per Annum,1830,$44719.00,$57.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1830,$77750.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$57239.00, per Annum,1691.75,$55147.67,$25.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$40392.00, per Annum,126.42,$4671.55,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$53980.00, per Annum,1830,$53396.07,$2541.26
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$68000.00, per Annum,1830,$67690.70,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,858,$18053.13,$24.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$33800.00, per Annum,1809,$32800.60,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SECRETARY                                                   ,$56759.00, per Annum,1831,$56017.56,$6088.63
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1558,$34583.89,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$57239.00, per Annum,1600,$47004.95,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY CUSTODIAL ASSISTANT                                    ,$29011.00, per Annum,1666.57,$21611.61,$1925.02
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42243.00, per Annum,1775,$35662.11,$66.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SENIOR ACCOUNTANT INVESTIGATOR                              ,$71470.00, per Annum,1830,$69929.52,$43.12
